q,n1,n2,n3,n4,a,t,s
해양쓰레기 발생원인으로 거리가 가까운 것은?,여름철에만 발생하는 해양쓰레기가 있다.,일상적인 쓰레기가 해양쓰레기로 정의되지 않는다.,장마철 폭우나 태풍이 있을 때 함부로 버려진 쓰레기가 바다로 이동하게 된다.,해양쓰레기는 주로 고무나 금속으로만 구성된다.,3,해양쓰레기 발생원인,장마철 폭우나 태풍으로 쓰레기가 쉽게 이동해 바다로 유입되기 때문입니다.
해양쓰레기의 발생원인으로 거리가 가까운 것은?,해양쓰레기는 항구 근처에서만 발생한다.,하천과 강을 따라 바다로 들어오는 쓰레기,해양쓰레기는 바닷속에서 자연적으로 생성된다.,해양쓰레기는 주로 기후 변화로 인해 발생한다.,2,해양쓰레기 발생원인,하천과 강은 육상의 쓰레기가 바다로 직접 유입되는 경로이기 때문입니다.
국내 해양쓰레기 현황에 대한 정보 중에서 거리가 가까운 것은?,육지에서 유입되는 양이 50%를 차지한다.,해양 쓰레기의 대부분은 해상에서 발생한다.,육지에서 유입되는 양이 65%로 가장 많다.,바다에서 직접 발생하는 양이 75%로 가장 많다.,3,해양쓰레기 현황,육지에서 유입된 쓰레기가 해양오염의 주 원인임을 나타냅니다.
해양쓰레기로 인해 생물에게 피해가 발생하는 것 중 거리가 가까운 것은?,미세플라스틱이 해양생태계를 위협한다.,해양 생물이 쓰레기를 먹지 않는다.,해양쓰레기는 생물에게 무해한 영향을 미친다.,해양쓰레기는 생물의 생존에 필수적인 요소이다.,1,해양쓰레기 피해 및 위험성,"미세플라스틱은 해양 생물의 식량으로 오인돼 섭취되며, 해양 생태계에 직접적인 위협이 된다."
태평양 해양 쓰레기섬과 관련하여 거리가 가까운 것은?,태평양 해양 쓰레기섬은 주로 침전물이 형성된 지역이다.,해양 쓰레기 섬은 해양 생물을 보호하기 위한 인공 구조물이다.,해양 폐기물들이 바다의 흐름에 따라 한 곳으로 모여 형성된 대규모 플라스틱 쓰레기 섬이다.,해양 쓰레기 섬은 해양 생물들이 생성한 자연 현상이다.,3,태평양 쓰레기섬,해양 폐기물이 해류에 의해 집합해 형성된 것이기 때문입니다.
태평양 해양 쓰레기섬에 대한 설명 중 거리가 먼 것은?,쓰레기 섬은 1990년대 초반에 처음 발견되었다.,쓰레기 섬은 2000년대 초반에 발견되었다.,쓰레기 섬은 오직 한 종류의 쓰레기로만 이루어져 있다.,쓰레기 섬의 규모는 지구 표면의 20%를 차지한다.,1,태평양 쓰레기섬,쓰레기 섬은 1997년에 발견됨.
미세 플라스틱의 환경적 영향 중 거리가 가까운 것은?,미세 플라스틱은 해양 생물의 생태계에 긍정적인 영향을 준다.,물고기의 성장과 번식에 장애를 일으킨다.,미세 플라스틱은 주로 육상 동물에게만 영향을 미친다.,미세 플라스틱은 주로 수중 식물의 광합성을 방해한다.,2,미세플라스틱,미세 플라스틱이 물고기에 유입되어 먹이사슬에 영향을 주기 때문입니다.
미세 플라스틱이 해양생태계에 미치는 영향으로 거리가 가까운 것은?,미세 플라스틱은 해양 생물의 생존에 아무런 영향을 미치지 않는다.,미세 플라스틱은 해양 생물의 인지 능력을 향상시킨다.,미세 플라스틱은 해양 생물의 색상을 변화시킨다.,성장과 번식에 장애를 일으키는 문제이다.,4,미세플라스틱,미세 플라스틱이 해양 생물의 생리적 기능을 방해하여 성장과 번식에 악영향을 미치기 때문입니다.
허베이스피릿호 원유유출 사고와 관련하여 거리가 가까운 것은?,"2007년 12월 7일 충남 앞 바다에서 일어난 국내 최대 해양오염 사고로, 12,547㎘의 원유가 유출됐다.",허베이스피릿호 사고는 2005년 5월 15일 부산 앞바다에서 발생했다.,허베이스피릿호 사고는 단 한 방울의 원유도 유출되지 않았다.,허베이스피릿호 사고는 2010년 4월 20일 미국 멕시코만에서 발생한 사고이다.,1,허베이스피릿호 원유유출 사고,사고 발생일과 장소가 관련 정보입니다.
허베이스피릿호 원유유출 사고와 관련하여 거리가 가까운 것은?,"120,000㎘의 원유가 해상으로 유출되었다.","5,874㎘의 원유가 해상으로 유출되었다.","20,000㎘의 원유가 해상으로 유출되었다.","12,547㎘의 원유가 해상으로 유출되었다.",4,허베이스피릿호 원유유출 사고,유출된 원유량이 사건의 핵심 사실이기 때문입니다.
호주 시드니 해변의 검은 공 사건과 관련하여 거리 감각이 가까운 것은?,검은 공은 해양 쓰레기와는 관계없이 별개로 발생한다.,검은 공은 자연적인 해양 자원으로 알려져 있다.,"검은 공은 탄화수소 기반 오염물질로, 바다로 빠져나간 석유와 이물질이 응고돼 생성되었다.",검은 공은 주로 해양 생물에 의해 생성된 것이다.,3,호주 검은 공 사건,검은 공은 석유와 이물질의 응집체다.
검은 공 사건과 관련하여 거리가 가까운 것은?,검은 공 사건은 해양 생물의 번식에 긍정적인 영향을 미쳤다.,해변에 떠밀려온 탄화수소 기반 오염물질로 확인된 검은 공이다.,검은 공은 바다에서 발견된 플라스틱 조각으로만 이루어져 있다.,검은 공 사건은 육상의 폐기물 처리 실패로 인한 것이다.,2,호주 검은 공 사건,검은 공 사건은 탄화수소 오염물질과 관련이 있다.
"해양 생물에 미치는 약품으로 인한 영향에 대한 설명 중, 거리가 가까운 것은?",미복용 약품이 하수구를 통해 흘러들어가 어패류에 생태계 교란을 일으킨다.,약품은 하수구를 통해 바다로 흘러갈 수 없다.,의약품이 해양 생물에게 직접적으로 유익한 영향을 미친다.,해양 생물은 약품에 대해 면역성이 강해 영향을 받지 않는다.,1,약품 사고,약품이 하수구로 유입되어 생태계에 해로운 영향을 미치기 때문입니다.
제주 바다에서 목격된 돌고래에 대한 정보 중 거리가 가까운 것은?,폐어구에 감긴 남방 큰돌고래가 관찰되었다.,제주 바다에서 돌고래가 수영하는 모습이 목격되었다.,폐어구에 감긴 태평양 큰돌고래가 관찰되었다.,제주 바다에서 대서양 흰돌고래가 관찰되었다.,1,폐어구에 걸린 돌고래,관찰된 돌고래의 상태와 위치 정보가 구체적이어서 거리가 가까운 정보로 판단됨.
우리나라 연안에서 발견된 바다거북에 대한 정보 중 거리가 가까운 것은?,10마리 중 5마리가 플라스틱을 먹은 것으로 확인됐다.,바다거북은 연안에서 플라스틱을 전혀 섭취하지 않는다.,10마리 중 8마리가 플라스틱을 먹은 것으로 확인됐다.,10마리 중 3마리가 다른 종류의 쓰레기를 먹은 것으로 확인됐다.,3,우리나라 바다 거북,"플라스틱 섭취는 환경 오염의 직접적 증거로, 바다거북에 미치는 영향을 보여줍니다."
상괭이가 주로 서식하는 지역으로 거리가 가까운 것은?,동해안,한반도 남서해,동중국해,태평양,2,상괭이,"상괭이는 따뜻한 해양 환경을 선호하기 때문에 한반도 남서해에서 주로 서식합니다."
상괭이의 서식지로 거리가 가까운 것은?,한반도 동해,서남극 해역,태평양,한반도 남서해,4,상괭이,상괭이는 한반도 남서해 해역에서 자주 발견됩니다.
해양쓰레기로 인해 바다생물이 입는 피해 중 올바른 것은?,바다생물은 해양쓰레기를 소화시킬 수 없다.,해양쓰레기는 해양생물의 생태계에 긍정적인 영향을 미친다.,해양쓰레기는 대부분 자연적으로 분해된다.,해양쓰레기는 주로 해저에서 자연적으로 정화된다.,1,해양쓰레기 피해 사례,바다동물은 플라스틱을 소화하지 못한다.
