q,n1,n2,n3,n4,a,t,s
해양쓰레기의 발생 원인으로 옳은 것은?,장마철 폭우나 태풍으로 인해 버려진 쓰레기가 하천을 따라 바다로 유입된다.,해양쓰레기는 오직 조류의 배설물로만 발생한다.,해양쓰레기는 고의적으로 바다에 버려진 폐기물만을 포함한다.,해양쓰레기는 주로 바다에서만 발생하며 육상에서는 아무런 영향을 미치지 않는다.,1,해양쓰레기 발생원인,장마철 폭우와 태풍은 쓰레기를 하천으로 유입시켜 해양쓰레기를 증가시키기 때문입니다.
해양쓰레기 발생원인에 대한 설명 중 옳은 것은?,해양쓰레기는 산업 폐기물에서만 발생한다.,일상적인 생활에서 배출되는 쓰레기는 강을 따라 바다로 유입된다.,해양쓰레기는 대기 중의 유해물질이 바다로 직접 유입되어 생성된다.,해양쓰레기는 주로 해양 생물의 분해작용에 의해 발생한다.,2,해양쓰레기 발생원인,일상생활에서 발생한 쓰레기가 하수나 강을 통해 해양으로 흘러들어가 바다의 오염을 초래합니다.
해양쓰레기의 발생 원인으로 옳은 것은?,일상생활에서 배출되는 쓰레기가 하천과 강을 따라 바다로 들어온다.,해양쓰레기는 주로 해양 생물의 자연 분변으로만 발생한다.,해양쓰레기는 대기 중에서만 발생하여 바다로 흘러든다.,해양쓰레기는 해양에서 발생한 알갱이들의 자발적인 분해로만 존재한다.,1,해양쓰레기 발생원인,일상생활 쓰레기가 수로를 통해 해양으로 유입되기 때문입니다.
해양쓰레기의 발생 원인 중 옳은 것은?,해양쓰레기는 자연적으로 생겨나는 것만 포함된다.,해양쓰레기의 대부분은 공기 중에서 발생한다.,일상생활에서 배출된 쓰레기가 하천을 통해 바다로 유입된다.,해양쓰레기는 주로 해양 활동에서만 발생한다.,3,해양쓰레기 발생원인,일상생활에서 발생한 쓰레기가 하천으로 흘러 들어가 바다에 유입되기 때문입니다.
해양쓰레기의 발생원인으로 알맞은 것은?,해양쓰레기는 대부분의 경우 산업에서 발생한 폐기물이다.,일상적인 생활에서 배출된 쓰레기가 하천과 강을 따라 바다로 들어온다.,해양쓰레기는 주로 해양 생물에서 발생한다.,해양쓰레기는 오로지 선박에서 발생하는 쓰레기에 한정된다.,2,해양쓰레기 발생원인,일상 생활의 쓰레기가 하천을 통해 바다로 유입되므로 해양쓰레기 발생의 주요 원인입니다.
해양쓰레기로 인해 가장 직접적인 영향을 받는 것은 무엇인가?,미세먼지,육상 식물,바다생물,인간.,3,해양쓰레기 현황,해양쓰레기가 바다생물에 미치는 영향은 생명체의 서식지 파괴와 오염으로 인한 건강 저하 때문입니다.
해양쓰레기의 육상 기인 종류가 아닌 것은?,수산업에서 발생한 폐어구,소각장에서 발생한 재활용 불가능한 쓰레기,자연재해로 인한 유실된 건축 자재,산업폐수에서 발생한 오염물질,1,해양쓰레기 현황,수산업에서 발생한 폐어구는 해양에서 유래하므로 육상 기인에 해당하지 않습니다.
해양쓰레기로 인해 해양생태계에서 발생하는 문제로 옳은 것은?,미세플라스틱이 해양생태계를 위협하고 바다를 오염시킨다.,해양쓰레기는 해양생물에게 전혀 영향을 미치지 않는다.,해양쓰레기는 주기적으로 자연적으로 분해되어 없어지는 경향이 있다.,"해양쓰레기는 주로 식물에서 발생하며, 해양에 영향을 미치지 않는다.",1,해양쓰레기 피해 및 위험성,미세플라스틱은 해양생물의 섭취 및 서식지 파괴로 생태계를 위협합니다.
해양쓰레기가 바다 생물에 미치는 영향으로 옳은 것은?,해양쓰레기는 해양 생물의 번식에 긍정적인 영향을 미친다.,해양쓰레기는 지구의 온도를 낮추는 데 기여한다.,해양쓰레기로 인해 해양 생태계가 위협받고 생물이 살 수 없는 상황이 발생할 수 있다.,해양쓰레기는 바다 생물에게 영양분을 제공하여 생태계를 활성화한다.,3,해양쓰레기 피해 및 위험성,해양쓰레기는 생체의 서식지를 파괴하여 생명체의 생존을 위협합니다.
해양쓰레기의 피해 및 위험성에 대한 설명 중 올바른 것은?,해양쓰레기는 생물들이 좋아하는 서식지를 제공한다.,"해양쓰레기는 해양생태계를 위협하며, 바다 밑바닥을 오염시켜 생물의 생존을 어렵게 만든다.",해양쓰레기는 바다의 수온을 낮추는 효과가 있다.,해양쓰레기는 바다의 생물 다양성을 증진시킨다.,2,해양쓰레기 피해 및 위험성,"해양쓰레기는 생물 서식지를 파괴하고, 생존에 필요한 환경을 악화시키기 때문입니다."
해양쓰레기로 인해 발생하는 문제 중 옳은 것은?,해양쓰레기는 바다에서 완전히 분해되는 데 오랜 시간이 걸린다.,"해양쓰레기는 주로 어업에서 발생하며, 육상의 쓰레기와는 관련이 없다.",해양쓰레기는 자연적으로 신속하게 분해되어 해양생태계에 아무런 영향을 미치지 않는다.,"해양쓰레기는 플라스틱으로만 구성되어 있으며, 생물에게는 아무런 위험을 주지 않는다.",1,해양쓰레기 피해 및 위험성,"해양쓰레기는 분해가 매우 느려, 환경 문제를 유발합니다."
해양쓰레기로 인해 바다 생물에게 미치는 영향에 대한 설명으로 옳은 것은?,미세플라스틱은 해양생태계를 위협하고 바다를 오염시킨다.,미세플라스틱은 바다 생물에게 긍정적인 영향을 미치고 생태계를 개선한다.,해양쓰레기는 언제나 바다의 수온을 높여서 생물에게 이로운 영향을 준다.,해양쓰레기는 바다 생물의 먹이사슬에 영향을 주지 않는다.,1,해양쓰레기 피해 및 위험성,미세플라스틱은 해양 생물의 섭취 및 생태계 균형을 교란시켜 오염을 초래합니다.
해양쓰레기로 인해 발생하는 피해 중 바다생물에게 직접적인 피해를 주는 원인으로 거리가 먼 것은?,해양쓰레기를 먹이로 오인해 해양 생물이 먹는 경우,어선의 그물에 해양쓰레기가 걸리는 경우,피서객들이 해변에서 요가를 하는 경우,해양쓰레기가 바다에서 유해 화학물질을 방출하는 경우,3,해양쓰레기 피해 사례,"피서객들의 요가는 해양쓰레기와 무관하여, 바다생물에 직접적인 피해를 주지 않기 때문입니다."
